Tag,Value,LanguageCode,true,MemberKey
test,testvalue,tr-TR,true,IdentityV1
test2,testvalue2,tr-TR,true,CatalogV1
test3,testvalue3,tr-TR,true,CatalogV1
test4,testvalue4,en-US,true,BasketV1
test5,testvalue5,en-US,true,BasketV1
test6,testvalue6,en-US,true,CatalogV1
test7,testvalue7,es-ES,true,BasketV1
test8,testvalue8,es-ES,true,IdentityV1
test9,testvalue9,es-ES,true,CatalogV1
BC22U.EmailSuccess,<p>Email Gönderildi {Name} </p>,tr-TR,true,NotificationV1
BC22U.EmailSuccess,<p>Email sent {Name} </p>,en-US,true,NotificationV1
BC22U.SmsSuccess,<p>Email Gönderildi {Name} </p>,tr-TR,true,NotificationV1
BC22U.SmsSuccess,<p>Email sent {Name} </p>,en-US,true,NotificationV1
BC22U.SmsSuccessSubject, Ödeme tamamlandı başarılı mesajı,tr-TR,true,NotificationV1
BC22U.SmsSuccessSubject, Payment completed success message,en-US,true,NotificationV1
campaigninput.status.notempty,Statü boş bırakılamaz,tr-TR,true,CampaignV1
campaigninput.status.notempty,Status cannot be empty,en-US,true,CampaignV1
campaigninput.name.notempty,İsim boş bırakılamaz,tr-TR,true,CampaignV1
campaigninput.name.notempty,Name cannot be empty,en-US,true,CampaignV1
campaigninput.name.length,İsim uzunluğu {0} ile {1} arasında olmalı,tr-TR,true,CampaignV1
campaigninput.name.length,Name length must be between {0} and {1},en-US,true,CampaignV1
campaigninput.description.notempty,Tanım boş bırakılamaz,tr-TR,true,CampaignV1
campaigninput.description.notempty,Description cannot be empty,en-US,true,CampaignV1
campaigninput.description.length,Tanım uzunluğu {0} ile {1} arasında olmalı,tr-TR,true,CampaignV1
campaigninput.description.length,Description length must be between {0} and {1},en-US,true,CampaignV1
